iqr,learning_rate,subsample,n_estimators,max_depth,accuracy_mean,accuracy_1_mean,accuracy_0_mean,accuracy_median,accuracy_1_median,accuracy_0_median,recall_1_mean,recall_0_mean
1.0,0.05,0.1,1,1,0.5333333333333333,0.26666666666666666,0.6333333333333333,0.5,0.0,0.5,0.4,0.8
1.0,0.05,0.1,1,2,0.5333333333333333,0.26666666666666666,0.6333333333333333,0.5,0.0,0.5,0.4,0.8
1.0,0.05,0.1,1,3,0.5333333333333333,0.26666666666666666,0.6333333333333333,0.5,0.0,0.5,0.4,0.8
1.0,0.05,0.1,1,4,0.5333333333333333,0.26666666666666666,0.6333333333333333,0.5,0.0,0.5,0.4,0.8
1.0,0.05,0.1,2,1,0.4,0.21000000000000002,0.6333333333333333,0.5,0.25,0.5,0.5,0.55
1.0,0.05,0.1,2,2,0.4,0.21000000000000002,0.6333333333333333,0.5,0.25,0.5,0.5,0.55
1.0,0.05,0.1,2,3,0.4,0.21000000000000002,0.6333333333333333,0.5,0.25,0.5,0.5,0.55
1.0,0.05,0.1,2,4,0.4,0.21000000000000002,0.6333333333333333,0.5,0.25,0.5,0.5,0.55
1.0,0.05,0.1,4,1,0.5,0.26666666666666666,0.5999999999999999,0.5,0.0,0.5,0.4,0.75
1.0,0.05,0.1,4,2,0.5,0.26666666666666666,0.5999999999999999,0.5,0.0,0.5,0.4,0.75
1.0,0.05,0.1,4,3,0.5,0.26666666666666666,0.5999999999999999,0.5,0.0,0.5,0.4,0.75
1.0,0.05,0.1,4,4,0.5,0.26666666666666666,0.5999999999999999,0.5,0.0,0.5,0.4,0.75
1.0,0.05,0.1,8,1,0.4666666666666667,0.25,0.5666666666666667,0.5,0.25,0.5,0.4,0.7
1.0,0.05,0.1,8,2,0.4666666666666667,0.25,0.5666666666666667,0.5,0.25,0.5,0.4,0.7
1.0,0.05,0.1,8,3,0.4666666666666667,0.25,0.5666666666666667,0.5,0.25,0.5,0.4,0.7
1.0,0.05,0.1,8,4,0.4666666666666667,0.25,0.5666666666666667,0.5,0.25,0.5,0.4,0.7
1.0,0.05,0.1,16,1,0.4666666666666667,0.32,0.5333333333333333,0.5,0.2,0.5,0.5,0.65
1.0,0.05,0.1,16,2,0.4666666666666667,0.32,0.5333333333333333,0.5,0.2,0.5,0.5,0.65
1.0,0.05,0.1,16,3,0.4666666666666667,0.32,0.5333333333333333,0.5,0.2,0.5,0.5,0.65
1.0,0.05,0.1,16,4,0.4666666666666667,0.32,0.5333333333333333,0.5,0.2,0.5,0.5,0.65
1.0,0.05,0.1,32,1,0.4333333333333333,0.3333333333333333,0.4333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5666666666666667,0.5166666666666666
1.0,0.05,0.1,32,2,0.4333333333333333,0.3333333333333333,0.4333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5666666666666667,0.5166666666666666
1.0,0.05,0.1,32,3,0.4333333333333333,0.3333333333333333,0.4333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5666666666666667,0.5166666666666666
1.0,0.05,0.1,32,4,0.4333333333333333,0.3333333333333333,0.4333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5666666666666667,0.5166666666666666
1.0,0.05,0.1,64,1,0.4,0.2333333333333333,0.5499999999999999,0.5,0.3333333333333333,0.6666666666666666,0.4,0.5666666666666667
1.0,0.05,0.1,64,2,0.4,0.2333333333333333,0.5499999999999999,0.5,0.3333333333333333,0.6666666666666666,0.4,0.5666666666666667
1.0,0.05,0.1,64,3,0.4,0.2333333333333333,0.5499999999999999,0.5,0.3333333333333333,0.6666666666666666,0.4,0.5666666666666667
1.0,0.05,0.1,64,4,0.4,0.2333333333333333,0.5499999999999999,0.5,0.3333333333333333,0.6666666666666666,0.4,0.5666666666666667
1.0,0.05,0.1,100,1,0.5333333333333334,0.6466666666666667,0.6333333333333334,0.5,0.5,0.6666666666666666,0.5066666666666666,0.6833333333333333
1.0,0.05,0.1,100,2,0.5333333333333334,0.6466666666666667,0.6333333333333334,0.5,0.5,0.6666666666666666,0.5066666666666666,0.6833333333333333
1.0,0.05,0.1,100,3,0.5333333333333334,0.6466666666666667,0.6333333333333334,0.5,0.5,0.6666666666666666,0.5066666666666666,0.6833333333333333
1.0,0.05,0.1,100,4,0.5333333333333334,0.6466666666666667,0.6333333333333334,0.5,0.5,0.6666666666666666,0.5066666666666666,0.6833333333333333
1.0,0.05,0.1,200,1,0.4333333333333333,0.2,0.5633333333333332,0.3333333333333333,0.0,0.5,0.3,0.6833333333333333
