Game,League,Odd Home,Odd Draw,Odd Away,Total Shots Home,Total Shots Away,Shots Insidebox Home,Shots Insidebox Away,Fouls Home,Fouls Away,Over 0.5 HT,Winner
Defensa Y Justicia x América-MG,CONMEBOL Sudamericana,"2,45","3,21","3,09",2,1,-,-,1,3,0,H
Colo Colo x Monagas,CONMEBOL Libertadores,"1,32","5,32","10,6",2,1,2,-,1,1,1,H
Chico x América Cali,Primera A,"3,04","2,92","2,76",1,1,-,1,-,3,1,D
Barcelona SC x Bolívar,CONMEBOL Libertadores,"1,53","4,24","6,76",3,2,3,1,2,2,1,H
LDU de Quito x Magallanes,CONMEBOL Sudamericana,"1,25","5,91","11,17",5,-,3,-,1,4,0,H
USA x México,Friendlies,"2,47","3,25","3,11",-,2,-,-,3,2,0,D
AS Roma x Feyenoord,UEFA Europa League,"1,84","3,51","4,93",2,-,2,-,2,3,0,H
West Ham x Gent,UEFA Europa Conference League,"1,53","4,27","6,65",2,1,1,1,3,3,1,H
Ceramica Cleopatra x Al Ittihad,Premier League,"2,38","2,88","3,61",-,-,-,-,-,-,0,D
Goias x Corinthians,Serie A,"3,24","2,94","2,64",5,-,3,-,1,5,1,H
Mushuc Runa SC x Emelec,Liga Pro,"2,94","3,35","2,46",-,-,-,-,-,-,0,D
Union Magdalena x Millonarios,Primera A,"3,59","2,97","2,39",1,-,1,-,-,1,1,D
Union Espanola x Coquimbo Unido,Primera División,"2,17","3,25","3,78",-,1,-,-,-,1,0,H
Angel City W x San Diego Wave W,NWSL Women,"3,82","3,53","1,88",2,1,1,1,2,-,0,A
Santos Laguna x Club Queretaro,Liga MX,"1,57","4,41","5,92",-,-,-,-,1,4,0,A
Universitatea Cluj x CS Mioveni,Liga I,"1,46","4,16","8,04",1,1,-,-,1,2,0,H
haka x Honka,Veikkausliiga,"3,47","3,25","2,31",1,2,-,-,1,1,0,D
Al-Jazira x Al Bataeh,Pro League,"1,24","7,12","9,06",-,-,-,-,1,2,1,H
Verl x Borussia Dortmund II,3. Liga,"2,29","3,76","3,02",2,4,-,-,2,4,1,H
Slavia Sofia x Botev Plovdiv,First League,"2,15","3,19","3,74",-,-,-,-,-,-,0,D
Fenerbahce x İstanbulspor,Süper Lig,"1,18",8,"13,88",1,-,-,-,1,1,1,D
Benfica B x Trofense,Segunda Liga,"2,05","3,9","3,44",-,-,-,-,2,6,0,D
IFK Varnamo x AIK stockholm,Allsvenskan,"3,47","3,39","2,25",1,-,-,-,3,1,0,H
Orgryte IS x Jonkopings Sodra,Superettan,"2,24","3,45","3,23",-,-,-,-,-,-,1,D
Ostersunds FK x Skövde AIK,Superettan,"1,93","3,65","3,92",-,-,-,-,-,-,1,H
Odense x Lyngby,Superliga,"2,17","3,69","3,31",-,4,-,3,1,2,1,D
Sakaryaspor x Boluspor,1. Lig,"1,66","4,02","5,04",1,4,-,1,3,2,1,D
FC Voluntari x Petrolul Ploiesti,Liga I,"2,02","3,58","3,7",-,-,-,-,1,1,1,D
Jong PSV x MVV,Eerste Divisie,"1,94","4,3","3,47",1,-,-,-,1,-,0,A
Jong Utrecht x Jong Ajax,Eerste Divisie,"2,93","4,06","2,24",1,-,1,-,2,1,0,H
Barracas Central x Defensa Y Justicia,Liga Profesional Argentina,"3,34","3,2","2,37",1,1,1,1,-,1,0,A
Atalanta x AS Roma,Serie A,"2,41","3,33","3,25",-,-,-,-,3,2,1,H
Bordeaux x Grenoble,Ligue 2,"1,64","3,85","6,02",3,1,3,1,1,-,1,H
Huesca x Tenerife,Segunda División,"3,56","2,74","2,59",-,-,-,-,1,6,1,D
Luton x Middlesbrough,Championship,"2,29","3,45","3,32",-,1,-,-,2,2,1,H
Guimaraes x Sporting CP,Primeira Liga,"7,37","4,42","1,49",2,2,-,1,1,2,0,A
Racing Club x Atletico Tucuman,Liga Profesional Argentina,"1,85","3,48","4,81",1,1,1,1,-,1,1,A
Cesar Vallejo x Deportivo Municipal,Primera División,"1,7","3,81","4,83",-,2,-,-,2,3,0,D
Bahia x Botafogo,Serie A,"2,21","3,24","3,75",4,-,3,-,1,5,1,A
Wanderers x Club Nacional,Primera División - Apertura,"4,9","3,58","1,81",1,1,-,-,1,1,0,A
Nublense x A. Italiano,Primera División,"2,21","3,44","3,44",2,2,1,2,-,1,1,A
Universitario x Sporting Cristal,Primera División,"2,2","3,22","3,43",2,-,1,-,-,3,1,H
Pardubice x Slovácko,Czech Liga,"3,16","3,27","2,44",-,-,-,-,-,-,1,H
Sibenik x NK Slaven Belupo,HNL,"2,17","3,18","3,7",3,-,1,-,3,1,1,H
Mladost Novi Sad x Kolubara,Super Liga,"1,18","4,4",14,-,-,-,-,3,4,1,H
SK Vorwarts Steyr x SKU Amstetten,2. Liga,"2,41","3,67","2,81",5,1,-,-,3,-,1,A
